Engineering strain,Tensile stress (GPa),sample
0.15225,13.44833766395386,W1_joint_300K
0.153,13.432868379160741,W1_joint_300K
0.15375,13.43214572462426,W1_joint_300K
0.1545,13.415456444833719,W1_joint_300K
0.15525,13.38346270816028,W1_joint_300K
0.156,13.242945299363942,W1_joint_300K
0.15675,13.209695414292742,W1_joint_300K
0.1575,13.182367881695978,W1_joint_300K
0.15825,13.12528168480164,W1_joint_300K
0.159,12.99270482583572,W1_joint_300K
0.15975,12.864229381700103,W1_joint_300K
0.1605,12.48288704487278,W1_joint_300K
0.16125,11.786114842562247,W1_joint_300K
0.162,10.766819959363191,W1_joint_300K
0.16275,9.501153073402651,W1_joint_300K
0.1635,7.937378261309294,W1_joint_300K
0.16425,6.179881335324086,W1_joint_300K
0.165,4.365157915447869,W1_joint_300K
0.16575,2.492346797904515,W1_joint_300K
0.1665,0.6209054638347971,W1_joint_300K
0.16725,-1.110114621923945,W1_joint_300K
0.168,-2.516748971425115,W1_joint_300K
0.16875,-3.397898050125106,W1_joint_300K
0.1695,-3.58775168598698,W1_joint_300K
0.17025,-3.0436423223348266,W1_joint_300K
0.171,-1.8944559123360025,W1_joint_300K
0.17175,-0.45519220574646857,W1_joint_300K
0.1725,0.9552184701295033,W1_joint_300K
0.17325,2.1469112739304035,W1_joint_300K
0.174,2.9354499787877537,W1_joint_300K
0.17475,3.2006807199719263,W1_joint_300K
0.1755,2.9453949611907717,W1_joint_300K
0.17625,2.2102113382696893,W1_joint_300K
0.177,1.0493338013636473,W1_joint_300K
0.17775,-0.38441802938645475,W1_joint_300K
0.1785,-1.8010560987372226,W1_joint_300K
0.17925,-2.8552942899901383,W1_joint_300K
0.18,-3.2946711179494104,W1_joint_300K
0.18075,-2.9934191564345065,W1_joint_300K
0.1815,-2.0942092743596765,W1_joint_300K
0.18225,-0.8150320299966204,W1_joint_300K
0.183,0.5723171038909436,W1_joint_300K
0.18375,1.7669701714321537,W1_joint_300K
0.1845,2.5851300809842264,W1_joint_300K
0.18525,2.953013801634036,W1_joint_300K
0.186,2.845554408155376,W1_joint_300K
0.18675,2.255860503363104,W1_joint_300K
0.1875,1.2871360349626755,W1_joint_300K
0.18825,0.059332011938927655,W1_joint_300K
0.189,-1.1997869536512424,W1_joint_300K
0.18975,-2.2079342274886904,W1_joint_300K
0.1905,-2.746964083944394,W1_joint_300K
0.19125,-2.710404778793352,W1_joint_300K
0.192,-2.1196007482919823,W1_joint_300K
0.19275,-1.1045193813722443,W1_joint_300K
0.1935,0.0779194061371177,W1_joint_300K
0.19425,1.1815123236397558,W1_joint_300K
0.195,2.0263611381814957,W1_joint_300K
0.19575,2.487602830412338,W1_joint_300K
0.1965,2.530679431454804,W1_joint_300K
0.19725,2.1589603351445676,W1_joint_300K
0.198,1.4206178231886022,W1_joint_300K
0.19875,0.4243707534543663,W1_joint_300K
0.1995,-0.6635278528988697,W1_joint_300K
0.20025,-1.6560712546012577,W1_joint_300K
0.201,-2.3008089918535752,W1_joint_300K
0.20175,-2.4539769584566025,W1_joint_300K
0.2025,-2.1108200621792386,W1_joint_300K
0.20325,-1.3220176515855226,W1_joint_300K
0.204,-0.2924491621558108,W1_joint_300K
0.20475,0.7439819846935812,W1_joint_300K
0.2055,1.5751414072607772,W1_joint_300K
0.20625,2.1014482003829835,W1_joint_300K
0.207,2.261688031984378,W1_joint_300K
0.20775,2.0424085315725256,W1_joint_300K
0.2085,1.4804857685395958,W1_joint_300K
0.20925,0.6374684165836196,W1_joint_300K
0.21,-0.3291331707479085,W1_joint_300K
0.21075,-1.2808412777181666,W1_joint_300K
0.2115,-1.968768655512068,W1_joint_300K
0.21225,-2.2467545152141364,W1_joint_300K
0.213,-2.0388334384151205,W1_joint_300K
0.21375,-1.417806604626899,W1_joint_300K
0.2145,-0.504656776349131,W1_joint_300K
0.21525,0.459394990322763,W1_joint_300K
0.216,1.2882099851830409,W1_joint_300K
0.21675,1.8611082893004371,W1_joint_300K
0.2175,2.0875001085480958,W1_joint_300K
0.21825,1.9429028119871514,W1_joint_300K
0.219,1.4762783910020725,W1_joint_300K
0.21975,0.7308583792160044,W1_joint_300K
0.2205,-0.1724011097090396,W1_joint_300K
0.22125,-1.0347631122052976,W1_joint_300K
