# Time-averaged data for fix rdf1850out
# TimeStep Number-of-rows
# Row c_rdf1850[1] c_rdf1850[2] c_rdf1850[3] c_rdf1850[4] c_rdf1850[5] c_rdf1850[6] c_rdf1850[7] c_rdf1850[8] c_rdf1850[9] c_rdf1850[10] c_rdf1850[11] c_rdf1850[12] c_rdf1850[13] c_rdf1850[14] c_rdf1850[15] c_rdf1850[16] c_rdf1850[17] c_rdf1850[18] c_rdf1850[19] c_rdf1850[20] c_rdf1850[21]
360000 200
105 3.135 0.734877 9.67282 0.615993 0.945215 0.768328 0.0705319 0.700365 0.103834 0.7074 0.191345 0.728557 0.0318103 0.522252 0.0320779 1.98068 0.715979 5.80518 0.276972 7.36373 0.921918
106 3.165 0.701494 9.84758 0.561615 0.960745 0.846155 0.0727803 0.717972 0.106335 0.739426 0.195553 0.736536 0.032776 0.538328 0.0335065 4.07793 0.726804 4.62274 0.289274 2.57835 0.928767
107 3.195 0.663393 10.016 0.523945 0.975512 0.838007 0.0750504 0.724556 0.108907 0.694598 0.199582 0.64182 0.0336336 0.576654 0.0350649 2.84802 0.734536 4.77236 0.302208 7.07539 0.947945
108 3.225 0.629804 10.1789 0.537128 0.990934 0.866848 0.0774431 0.69733 0.11143 0.797186 0.204295 0.582404 0.0344263 0.447054 0.0362987 4.49382 0.746907 4.68121 0.315142 2.48296 0.954795
109 3.255 0.608897 10.3393 0.492852 1.00535 0.982072 0.0802032 0.690458 0.113974 0.715835 0.208605 0.629277 0.0352984 0.647036 0.0381169 4.76884 0.760309 7.97175 0.337539 8.28255 0.978082
110 3.285 0.574234 10.4934 0.488768 1.0199 0.989363 0.0830355 0.652832 0.116424 0.749978 0.213203 0.729767 0.0363289 0.589296 0.0398052 3.96133 0.771649 6.28781 0.355521 6.71154 0.99726
111 3.315 0.562699 10.6472 0.4839 1.03458 0.907113 0.0856803 0.678842 0.119018 0.718712 0.217692 0.671843 0.0372946 0.734416 0.0419481 2.82287 0.779897 7.13769 0.376341 2.35113 1.00411
112 3.345 0.548995 10.8 0.501514 1.05007 1.03183 0.0887432 0.672632 0.121634 0.757136 0.222506 0.576146 0.0381378 0.919259 0.0446753 2.43244 0.787113 7.33352 0.398107 3.2333 1.0137
113 3.375 0.523988 10.9484 0.465758 1.06472 1.06801 0.0919717 0.70967 0.124445 0.748338 0.227349 0.474158 0.038844 0.643749 0.0466234 2.21782 0.793814 8.76171 0.424606 4.99655 1.02877
114 3.405 0.516133 11.0972 0.467346 1.07967 1.0896 0.0953229 0.733038 0.1274 0.71943 0.232091 0.498623 0.0396007 0.759184 0.048961 2.5169 0.801546 7.79223 0.44858 4.46077 1.04247
115 3.435 0.525482 11.2514 0.483272 1.09541 1.00087 0.0984578 0.770813 0.130564 0.755664 0.237158 0.657737 0.0406169 0.684392 0.0511039 2.30876 0.808763 6.84308 0.470032 5.25686 1.0589
116 3.465 0.524962 11.4082 0.488088 1.11159 1.0717 0.101874 0.733779 0.133626 0.742225 0.242224 0.642436 0.0416258 0.610918 0.0530519 2.58369 0.81701 7.92908 0.495268 3.43445 1.06986
117 3.495 0.526407 11.5681 0.495652 1.1283 0.971607 0.105023 0.787595 0.13697 0.806283 0.247824 0.654134 0.0426708 0.86162 0.0558442 2.70177 0.825773 7.59641 0.519874 4.64107 1.08493
118 3.525 0.527611 11.7311 0.497863 1.14538 1.10382 0.108662 0.705578 0.140019 0.777693 0.253315 0.651289 0.0437302 0.768216 0.0583766 2.03762 0.832474 8.51937 0.54795 3.32251 1.09589
119 3.555 0.536346 11.8997 0.504411 1.16298 0.99502 0.111999 0.764414 0.143377 0.869166 0.259556 0.610254 0.0447391 0.755733 0.0609091 2.91981 0.842268 8.09178 0.575079 2.0363 1.10274
120 3.585 0.546094 12.0742 0.527951 1.18171 1.14332 0.115898 0.753353 0.146743 0.822009 0.265559 0.582794 0.0457192 0.762545 0.0635065 2.41897 0.850515 6.75459 0.598107 5.21393 1.12055
121 3.615 0.560646 12.2564 0.53415 1.20098 1.15332 0.119898 0.796278 0.15036 0.827968 0.271707 0.657467 0.0468435 0.879208 0.0665584 2.08464 0.857732 7.18867 0.623028 4.34142 1.13562
122 3.645 0.572544 12.4456 0.559375 1.2215 1.11391 0.123825 0.843734 0.154259 0.870557 0.278279 0.638577 0.0479533 0.903736 0.0697403 3.80145 0.871134 5.28232 0.64164 3.10596 1.14658
123 3.675 0.596989 12.6461 0.586553 1.24337 1.046 0.127573 0.764186 0.157848 0.8602 0.28488 0.717368 0.0492217 0.870456 0.0728571 2.44555 0.879897 7.57125 0.66877 2.67957 1.15616
124 3.705 0.61344 12.8556 0.589895 1.26572 1.04507 0.131378 0.852906 0.16192 0.8776 0.291727 0.650028 0.0503892 1.21312 0.0772727 2.97821 0.890722 6.05949 0.690852 2.25978 1.16438
125 3.735 0.641618 13.0782 0.637241 1.29026 1.06886 0.135334 0.907812 0.166323 0.830176 0.298306 0.635381 0.0515494 0.929347 0.0807143 1.38951 0.895876 5.03186 0.709464 2.94969 1.17534
126 3.765 0.654886 13.3091 0.634556 1.3151 1.08104 0.139399 0.867215 0.170597 0.917972 0.3057 0.696096 0.0528394 0.966031 0.0843506 2.32731 0.904639 5.36212 0.729653 3.27715 1.18767
127 3.795 0.694335 13.5578 0.655337 1.34115 1.0243 0.143312 0.912107 0.175166 0.922779 0.313253 0.734594 0.0542231 0.8488 0.0875974 2.29191 0.913402 6.10235 0.752997 0.358565 1.18904
128 3.825 0.719777 13.8197 0.690054 1.36903 1.02663 0.147297 0.882438 0.179656 0.905739 0.320784 0.756327 0.0556717 1.10474 0.0918831 2.52076 0.923196 6.0117 0.776341 4.23402 1.20548
129 3.855 0.754819 14.0987 0.716379 1.39841 1.07002 0.151513 0.890886 0.184261 0.928537 0.328625 0.692673 0.0570193 0.972215 0.0957143 2.21907 0.931959 4.39922 0.793691 1.7357 1.21233
130 3.885 0.777373 14.3906 0.718858 1.42837 1.05433 0.155737 0.93898 0.18919 0.920918 0.336523 0.788233 0.058576 0.941158 0.0994805 1.92927 0.939691 5.66928 0.816404 3.40885 1.22603
