# Time-averaged data for fix rdf300out
# TimeStep Number-of-rows
# Row c_rdf300[1] c_rdf300[2] c_rdf300[3] c_rdf300[4] c_rdf300[5] c_rdf300[6] c_rdf300[7] c_rdf300[8] c_rdf300[9] c_rdf300[10] c_rdf300[11] c_rdf300[12] c_rdf300[13] c_rdf300[14] c_rdf300[15] c_rdf300[16] c_rdf300[17] c_rdf300[18] c_rdf300[19] c_rdf300[20] c_rdf300[21]
10000 200
86 2.565 2.32914 6.402 2.20664 0.712165 0.0251595 0.0567166 3.07097 0.0815293 2.41676 0.147384 4.10572 0.0266864 0 0.0507143 0.772429 0.071134 0.157399 0.0189274 0 0.0794521
87 2.595 1.46589 6.6838 1.52735 0.744754 0.0245953 0.0567671 2.47491 0.088181 1.85739 0.155542 3.61307 0.0303402 0 0.0507143 0 0.071134 0 0.0189274 0 0.0794521
88 2.625 0.976187 6.87583 1.18535 0.770633 0.0274814 0.0568247 2.16147 0.0941265 1.58107 0.162648 2.5418 0.0329706 0.0309772 0.0507792 0 0.071134 0 0.0189274 0.651796 0.0808219
89 2.655 0.857644 7.04841 1.11669 0.795575 0.0134398 0.0568536 1.87489 0.0994018 1.49535 0.169523 2.34152 0.0354497 0.0302811 0.0508442 0.23974 0.0716495 0 0.0189274 0 0.0808219
90 2.685 1.00694 7.25565 1.29386 0.82513 0.0525527 0.0569689 1.66267 0.104187 1.44832 0.176333 1.47091 0.0370424 0.0295887 0.0509091 0.468837 0.0726804 0 0.0189274 0 0.0808219
91 2.715 1.35151 7.54005 1.553 0.861401 0.0673936 0.0571202 1.70963 0.109217 1.40903 0.183108 1.75112 0.038981 0.144687 0.0512338 0 0.0726804 0.140497 0.0192429 0.609525 0.0821918
92 2.745 1.8272 7.93309 1.95425 0.908057 0.0596639 0.0572571 1.73972 0.114449 1.53834 0.190667 1.85294 0.0410781 0.113253 0.0514935 0.449438 0.0737113 0.137616 0.0195584 0.596801 0.0835616
93 2.775 2.33004 8.4453 2.25129 0.962986 0.0614989 0.0574013 1.83127 0.120078 1.51261 0.198263 2.05645 0.0434563 0.193853 0.0519481 0.219546 0.0742268 0.134303 0.0198738 0 0.0835616
94 2.805 2.70578 9.05304 2.49478 1.02518 0.0811885 0.0575958 1.73271 0.125519 1.52377 0.206082 2.3781 0.0462669 0.0542057 0.0520779 0.645064 0.0757732 0.131452 0.0201893 0.573892 0.0849315
95 2.835 2.78629 9.69232 2.51757 1.08929 0.117753 0.0578841 1.81302 0.131335 1.49854 0.213938 2.20896 0.0489334 0.132791 0.0524026 0.210821 0.0762887 0.128733 0.0205047 0.558811 0.0863014
