# Time-averaged data for fix rdffinalout
# TimeStep Number-of-rows
# Row c_rdffinal[1] c_rdffinal[2] c_rdffinal[3] c_rdffinal[4] c_rdffinal[5] c_rdffinal[6] c_rdffinal[7] c_rdffinal[8] c_rdffinal[9] c_rdffinal[10] c_rdffinal[11] c_rdffinal[12] c_rdffinal[13] c_rdffinal[14] c_rdffinal[15] c_rdffinal[16] c_rdffinal[17] c_rdffinal[18] c_rdffinal[19] c_rdffinal[20] c_rdffinal[21]
760000 200
109 3.255 0.242107 11.8662 0.206875 0.719134 0.879872 0.0802825 0.473812 0.113931 0.627166 0.210183 0.329129 0.0239334 0.402755 0.024026 3.02888 0.714433 3.50134 0.298738 0.44722 1.22603
110 3.285 0.220312 11.9306 0.213102 0.726052 0.993213 0.0833814 0.438789 0.115725 0.546748 0.213837 0.327797 0.0244379 0.228941 0.0247403 3.30429 0.724742 6.26861 0.318297 5.26972 1.24247
111 3.315 0.202747 11.991 0.227351 0.733569 1.09099 0.0868478 0.380676 0.11731 0.663982 0.218355 0.390866 0.0250504 0.367898 0.0259091 3.24474 0.735052 4.86492 0.333754 3.87988 1.25479
112 3.345 0.196084 12.0505 0.229287 0.741287 1.12052 0.0904728 0.433359 0.119148 0.585558 0.222413 0.365819 0.0256342 0.501859 0.0275325 3.1865 0.745361 5.55819 0.351735 3.81005 1.26712
113 3.375 0.186873 12.1082 0.257832 0.750123 1.09633 0.0940833 0.469093 0.121173 0.563958 0.226391 0.306127 0.0261314 0.749202 0.03 2.97384 0.755155 5.84297 0.370978 7.90213 1.29315
114 3.405 0.190381 12.168 0.277479 0.759801 1.03626 0.0975569 0.529774 0.123501 0.637359 0.230967 0.357428 0.0267224 0.852412 0.0328571 2.61411 0.763918 6.964 0.394322 5.31241 1.31096
115 3.435 0.190451 12.2289 0.30879 0.770762 1.11115 0.101348 0.597896 0.126175 0.584857 0.235241 0.398305 0.0273926 0.894568 0.0359091 1.81328 0.770103 7.213 0.418927 6.82618 1.33425
116 3.465 0.205016 12.2956 0.340974 0.783079 1.17918 0.105441 0.614504 0.128971 0.56508 0.239442 0.36617 0.0280196 1.17844 0.04 1.93067 0.776804 6.63361 0.441956 7.10334 1.3589
117 3.495 0.199597 12.3617 0.358288 0.796245 1.17539 0.109592 0.571318 0.131616 0.551618 0.243615 0.446822 0.0287979 0.956065 0.0433766 2.04363 0.784021 5.35929 0.460883 5.42934 1.37808
118 3.525 0.214101 12.4338 0.399065 0.811163 1.16547 0.113779 0.655002 0.1347 0.645282 0.24858 0.455487 0.0296051 0.976042 0.0468831 2.43897 0.792784 5.79527 0.481703 2.67008 1.38767
119 3.555 0.237557 12.5152 0.42022 0.82714 1.20113 0.118168 0.585287 0.137504 0.571832 0.253056 0.487827 0.0304843 1.15513 0.0511039 1.55177 0.798454 6.38842 0.505047 1.12485 1.39178
120 3.585 0.247582 12.6015 0.422162 0.843464 1.13263 0.122377 0.612533 0.140487 0.6293 0.258064 0.471829 0.0313491 1.2757 0.0558442 3.05156 0.809794 4.41453 0.521451 1.84319 1.39863
121 3.615 0.282715 12.7016 0.460457 0.861567 1.14441 0.126701 0.59949 0.143456 0.654517 0.263361 0.409896 0.032113 1.20301 0.0603896 2.59214 0.819588 5.67752 0.542902 1.45011 1.40411
